,Category,Resume,tokenized
  (0, 1467)	0.10863968687421621
  (0, 1378)	0.09014197683894459
  (0, 1367)	0.16814717030344214
  (0, 1349)	0.07446510538247894
  (0, 1338)	0.12335477501369492
  (0, 1332)	0.12283097270846915
  (0, 1327)	0.06875204632835212
  (0, 1299)	0.14702939282129318
  (0, 1247)	0.143731041329631
  (0, 1202)	0.16408698724124512
  (0, 1187)	0.18825201342429265
  (0, 1138)	0.07676085452341476
  (0, 1046)	0.1626838791950152
  (0, 1043)	0.1431982333037101
  (0, 1008)	0.13500561798122312
  (0, 895)	0.16567310596617155
  (0, 864)	0.17933200416757225
  (0, 863)	0.05681619361198227
  (0, 861)	0.13260716578092505
  (0, 814)	0.3188593990656627
  (0, 800)	0.06720023729423874
  (0, 746)	0.11908434380266449
  (0, 723)	0.18410572000427686
  (0, 721)	0.12054603168370163
  (0, 699)	0.17313727330175088
  (0, 698)	0.13576302153183148
  (0, 664)	0.11078370984570043
  (0, 615)	0.15476016110493498
  (0, 581)	0.17843477891253326
  (0, 562)	0.10360023188998306
  (0, 548)	0.10445999952442393
  (0, 469)	0.13558016243656923
  (0, 436)	0.16814717030344214
  (0, 429)	0.1981583419360494
  (0, 423)	0.12052534062118275
  (0, 319)	0.38639504519508105
  (0, 314)	0.0862629551327415
  (0, 254)	0.18681221411543691
  (0, 241)	0.09622824425930684
  (0, 193)	0.16344430419934652
  (0, 44)	0.12985871220804204"
62,12,technic skill typewrit tora spsseduc detail januari mba chidambaram tamil nadu sn colleg engin januari hsc sav higher secondari school mba sn colleg engin sslc financ kamaraj matricul school hr skill detail human resourc financ exprienc less year monthscompani detail compani descript,"  (0, 1495)	0.11859746982730325
  (0, 1346)	0.1261457510638848
  (0, 1196)	0.23180546783204808
  (0, 1186)	0.2779562502538769
  (0, 1135)	0.20863356443207334
  (0, 863)	0.08510138685970776
  (0, 821)	0.45479639817908146
  (0, 750)	0.1546678907534253
  (0, 698)	0.20335085267286582
  (0, 620)	0.2947829022086143
  (0, 616)	0.20272857370175232
  (0, 615)	0.23180546783204808
  (0, 595)	0.22649491519735826
  (0, 499)	0.4417743966792836
  (0, 469)	0.08510138685970776
  (0, 423)	0.18052729312789087
  (0, 231)	0.21935864509240047"
63,12,skill window xp ms offic word excel look up pivot tabl basic function power point saral payment packag payrol softwar internet applicationseduc detail januari bachelor hospit manag intern hospit manag queen margaret univers edinburg januari diploma hotel manag intern institut hotel manag hr skill detail hr manag exprienc less year monthscompani detail compani atri develop descript hr payrol statutori complianc perform manag compani descript employe relat administr creat industri specif polici procedur form format letter checklist etc payrol manag salari restructur process payrol employe valid input attend leav salari start salari process process ur error free salari employe respons compens benefit administr coordin ount team salari process attend leav record manag assur prompt satisfactori resolut payrol relat queri employe statutori complianc manag manag variou statutori complianc requir pf esic pt gratuiti td etc calcul deduct payment return file gener statutori report like form form conduct session employe statutori polici procedur complianc relat topic shop commerci establish act payment gratuiti act recruit select handl recruit like job post naukri portal coordin creat annual manpow plan budget screen schedul preliminari interview arrang employe orient handl join formal salari ount open formal perform manag end end facilit pm start creat job descript apprais form disburs letter kra set mid year review annual review handl apprais activ degre train develop conduct train need analysi arrang variou train session employe engag employe welfar creation deploy sale reward recognit scheme period interact session like monthli birthday celebr annual day diwali dhamaka offsit etc work saral payment packag payrol softwar well excel assist md hr work offer suggest answer employe queri payrol complianc relat issu benefit insur medic reimburs full final settlement resign employe,"  (0, 1495)	0.053787965784871675
  (0, 1494)	0.05558748779950034
  (0, 1481)	0.03863758961525989
  (0, 1480)	0.06086644889518757
  (0, 1476)	0.039079088971167984
  (0, 1471)	0.04351188513214734
  (0, 1435)	0.06411721867783422
  (0, 1431)	0.05665264210505073
  (0, 1423)	0.06507166673881132
  (0, 1420)	0.07742471578308026
  (0, 1418)	0.027426836336398162
  (0, 1390)	0.09464854286027932
  (0, 1380)	0.08772093873144089
  (0, 1344)	0.028526939156642568
  (0, 1328)	0.06086644889518757
  (0, 1311)	0.06458032588383163
  (0, 1288)	0.23892593379384117
  (0, 1280)	0.12719016313658063
  (0, 1261)	0.050028329068781505
  (0, 1247)	0.05766735856481929
  (0, 1227)	0.07555861673466226
  (0, 1218)	0.047492399275910216
  (0, 1217)	0.13030793779058517
  (0, 1200)	0.060283131310057546
  (0, 1190)	0.08064105153836137
  :	:
  (0, 332)	0.07386637201752552
  (0, 316)	0.05247128728120582
  (0, 295)	0.06482433632547477
  (0, 294)	0.07935479560152661
  (0, 280)	0.07977698327451399
  (0, 259)	0.0876020264340402
  (0, 252)	0.1648676514368443
  (0, 244)	0.08064105153836137
  (0, 239)	0.06295823727705674
  (0, 167)	0.0638673519553652
  (0, 157)	0.060475498236976184
  (0, 124)	0.13109143923377747
  (0, 119)	0.047778680861117084
  (0, 107)	0.04374151140588938
  (0, 86)	0.09645655969013212
  (0, 83)	0.07386637201752552
  (0, 81)	0.05197994642622612
  (0, 70)	0.11146752030676725
  (0, 59)	0.1279318588913029
  (0, 51)	0.07386637201752552
  (0, 48)	0.15675124896219728
  (0, 42)	0.043135505124812776
  (0, 18)	0.08621624774911993
  (0, 9)	0.03987090782360031
  (0, 7)	0.12372821628552441"
64,12,educ detail ba mumbai univers hr skill detail hr oper exprienc less year monthscompani detail compani mumbai monorail descript,"  (0, 1495)	0.1905937820747704
  (0, 1418)	0.16454854062687424
  (0, 926)	0.19203834305733397
  (0, 874)	0.42573812026762914
  (0, 863)	0.13676341666494632
  (0, 750)	0.24856127459673857
  (0, 615)	0.630741914427496
  (0, 469)	0.13676341666494632
  (0, 106)	0.47057367291235386"
65,12,educ detail june may econom chennai tamil nadu sdnbvc hr skill detail compani detail compani anyth solut descript hr,"  (0, 1250)	0.25025034199862917
  (0, 820)	0.3285656212193998
  (0, 716)	0.3004890677739535
  (0, 615)	0.6783613345572409
  (0, 200)	0.5281587060802259"
66,12,educ detail june may econom chennai tamil nadu sdnbvc hr skill detail compani detail compani anyth solut descript hr,"  (0, 1250)	0.25025034199862917
  (0, 820)	0.3285656212193998
  (0, 716)	0.3004890677739535
  (0, 615)	0.6783613345572409
  (0, 200)	0.5281587060802259"
67,12,educ detail bba love profession univers hr skill detail commun exprienc monthscompani detail compani descript,"  (0, 1418)	0.2664356601990662
  (0, 1042)	0.5713373753066446
  (0, 863)	0.2214462132048453
  (0, 615)	0.6031916158570686
  (0, 469)	0.2214462132048453
  (0, 241)	0.37505821738259404"
68,12,educ detail mba acn colleg engin mgt hr skill detail compani detail compani hr assist descript,"  (0, 821)	0.4970831631097686
  (0, 615)	0.7263152051735803
  (0, 423)	0.19731263979870253
  (0, 231)	0.23975451343629145
  (0, 81)	0.3591100766464811"
69,12,key skill computer ount talli sincer hard work manag ount incom tax good commun leadership two four wheeler drive licens internet ecommerc manag comput skill languag web program talli dbm educ detail june june mba financ hr india mlrit june june bcom comput hyderabad telangana osmania univers june april inter mec india srimedhav hr nani skill detail ount exprienc month databas manag system exprienc month dbm exprienc month manag ount exprienc month ecommerc exprienc monthscompani detail compani valuelab descript give rrf form requir dlt hand rlt scrum master take form rlt scrum master give form traine work requir till candid receiv offer compani,"  (0, 1481)	0.07263841333101156
  (0, 1467)	0.08194535029720615
  (0, 1418)	0.05156227119764381
  (0, 1408)	0.142049700505236
  (0, 1373)	0.10057156164303627
  (0, 1350)	0.14649432719392108
  (0, 1341)	0.13327617926676671
  (0, 1336)	0.2820482030890214
  (0, 1332)	0.09264963270370886
  (0, 1327)	0.05185867781954803
  (0, 1192)	0.25668897618166936
  (0, 1129)	0.10137536858286406
  (0, 1095)	0.12141058620148693
  (0, 1046)	0.07247456522968304
  (0, 940)	0.25345605468489424
  (0, 914)	0.11633826287663378
  (0, 863)	0.04285563611278001
  (0, 861)	0.11373512447194459
  (0, 821)	0.1352675465460997
  (0, 812)	0.19631649058910539
  (0, 800)	0.1209568957424216
  (0, 745)	0.12475911263704427
  (0, 734)	0.0742619251646717
  (0, 721)	0.09092613461502401
  (0, 716)	0.22845688672676043
  (0, 677)	0.12526542514611463
  (0, 672)	0.14289358212816072
  (0, 646)	0.12179596197489395
  (0, 641)	0.14946798183488663
  (0, 622)	0.14464655453456374
  (0, 615)	0.19764675835794066
  (0, 581)	0.13459078246535638
  (0, 579)	0.11333188877957782
  (0, 562)	0.07814416202180072
  (0, 554)	0.20404316437147507
  (0, 525)	0.14122615537162064
  (0, 519)	0.2824538700232533
  (0, 499)	0.13139448554330854
  (0, 469)	0.11182912163416812
  (0, 387)	0.12141058620148693
  (0, 319)	0.29145221458780235
  (0, 314)	0.06506690399622599
  (0, 254)	0.11368510803078621
  (0, 241)	0.07258357798328205
  (0, 64)	0.14042198958033117"
70,12,train special educ certif cours educ detail juli octob sc psycholog special organiz behaviour malappuram kerala calicut univers juli march bsc psycholog thrissur prajyoti niketan colleg hr skill detail compani detail compani descript done day internship hr depart foster hot bread kinfra malappuram kerala also done day internship santhwana institut counsel psychotherapi cochin kerala counsellor,"  (0, 1418)	0.07030539936863371
  (0, 1390)	0.11560980942660709
  (0, 1260)	0.2891895325756744
  (0, 1176)	0.18732123174968052
  (0, 936)	0.20105842252036696
  (0, 913)	0.20105842252036696
  (0, 809)	0.17672522593766285
  (0, 720)	0.44732179570933756
  (0, 715)	0.27041507872718645
  (0, 678)	0.3298861451634028
  (0, 664)	0.11393793815499847
  (0, 615)	0.2694922849113333
  (0, 609)	0.20240919573969468
  (0, 379)	0.25152059474833294
  (0, 341)	0.13884949126136295
  (0, 316)	0.2277347975565669
  (0, 288)	0.16026296860004802
  (0, 231)	0.08895861078429396
  (0, 190)	0.13920117906766433
  (0, 156)	0.19846895563774924
  (0, 35)	0.12449028796499713"
71,12,comput knowledg profici basic use ms offic microsoft dynam ax softwar saiba softwareeduc detail mba distanc educ bharathiar univers pa colleg engin technolog hsc hr sec school ssc hr sec school hr admin bharat skill detail dynam exprienc month dynam ax exprienc month microsoft dynam exprienc month microsoft dynam ax exprienc month ms offic exprienc monthscompani detail compani sri ramesh gaarment descript tirupur administr well client servic corpor compani insur knowledg gather garment spin mill feb still sri ramesh gaarment tirupur hr activ attend mainten time card mainten staff labor individu record mainten project advanc automobil collis avoid blackbox car,"  (0, 1471)	0.09408914621227653
  (0, 1427)	0.07036747841848853
  (0, 1418)	0.05930718943475462
  (0, 1374)	0.08336061754926548
  (0, 1349)	0.06460467170304074
  (0, 1274)	0.128733709933089
  (0, 1270)	0.11162187872834446
  (0, 1269)	0.34356014185764927
  (0, 1247)	0.0736490205761221
  (0, 1215)	0.07287443786878646
  (0, 1186)	0.16099895491813648
  (0, 1100)	0.12717672222685988
  (0, 1049)	0.058037976021055114
  (0, 1043)	0.12423637626676048
  (0, 915)	0.14876928971887937
  (0, 868)	0.15499397119350658
  (0, 863)	0.04929277299568795
  (0, 861)	0.13081872492752505
  (0, 843)	0.2451895867602468
  (0, 821)	0.1555854275044155
  (0, 797)	0.2142411832482305
  (0, 722)	0.14552203181547946
  (0, 668)	0.14125174410905536
  (0, 648)	0.140174723299569
  (0, 616)	0.11742527274783342
  (0, 615)	0.32040132513060643
  (0, 545)	0.11894317563642277
  (0, 487)	0.16338629585810718
  (0, 469)	0.12862643066395596
  (0, 423)	0.06175822013976919
  (0, 394)	0.39621417875497883
  (0, 282)	0.11832896313266568
  (0, 254)	0.07722966866737765
  (0, 231)	0.07504238975976187
  (0, 215)	0.07249279603145417
  (0, 177)	0.14527220298159196
  (0, 176)	0.1674215075176331
  (0, 119)	0.10331557172755136
  (0, 86)	0.12318807946328121
  (0, 19)	0.12531339707624686
  (0, 18)	0.11010981537040115
  (0, 17)	0.14292471150039088
  (0, 9)	0.08621597672538706"
72,12,softwar skill gener comput profici program langag known java web program tool softwar know matlab dbm key strength poss good commun analyt skill posit think sincer hard work honesti respons enthusiast learn new skill take new task self motiv readi ept challeng educ detail januari januari comput scienc engin comput scienc engin adichunchanagiri institut technolog chikmagalur hr skill detail databas manag system exprienc month dbm exprienc month java exprienc month matlab exprienc monthscompani detail compani truli descript jayashre ,"  (0, 1481)	0.05687688805477729
  (0, 1467)	0.10863968687421621
  (0, 1378)	0.09014197683894459
  (0, 1367)	0.16814717030344214
  (0, 1349)	0.07446510538247894
  (0, 1338)	0.12335477501369492
  (0, 1332)	0.12283097270846915
  (0, 1327)	0.06875204632835212
  (0, 1299)	0.14702939282129318
  (0, 1247)	0.143731041329631
  (0, 1202)	0.16408698724124512
  (0, 1187)	0.18825201342429265
  (0, 1138)	0.07676085452341476
  (0, 1046)	0.1626838791950152
  (0, 1043)	0.1431982333037101
  (0, 1008)	0.13500561798122312
  (0, 895)	0.16567310596617155
  (0, 864)	0.17933200416757225
  (0, 863)	0.05681619361198227
  (0, 861)	0.13260716578092505
  (0, 814)	0.3188593990656627
  (0, 800)	0.06720023729423874
  (0, 746)	0.11908434380266449
  (0, 723)	0.18410572000427686
  (0, 721)	0.12054603168370163
  (0, 699)	0.17313727330175088
  (0, 698)	0.13576302153183148
  (0, 664)	0.11078370984570043
  (0, 615)	0.15476016110493498
  (0, 581)	0.17843477891253326
  (0, 562)	0.10360023188998306
  (0, 548)	0.10445999952442393
  (0, 469)	0.13558016243656923
  (0, 436)	0.16814717030344214
  (0, 429)	0.1981583419360494
  (0, 423)	0.12052534062118275
  (0, 319)	0.38639504519508105
  (0, 314)	0.0862629551327415
  (0, 254)	0.18681221411543691
  (0, 241)	0.09622824425930684
  (0, 193)	0.16344430419934652
  (0, 44)	0.12985871220804204"
73,12,technic skill typewrit tora spsseduc detail januari mba chidambaram tamil nadu sn colleg engin januari hsc sav higher secondari school mba sn colleg engin sslc financ kamaraj matricul school hr skill detail human resourc financ exprienc less year monthscompani detail compani descript,"  (0, 1495)	0.11859746982730325
  (0, 1346)	0.1261457510638848
  (0, 1196)	0.23180546783204808
  (0, 1186)	0.2779562502538769
  (0, 1135)	0.20863356443207334
  (0, 863)	0.08510138685970776
  (0, 821)	0.45479639817908146
  (0, 750)	0.1546678907534253
  (0, 698)	0.20335085267286582
  (0, 620)	0.2947829022086143
  (0, 616)	0.20272857370175232
  (0, 615)	0.23180546783204808
  (0, 595)	0.22649491519735826
  (0, 499)	0.4417743966792836
  (0, 469)	0.08510138685970776
  (0, 423)	0.18052729312789087
  (0, 231)	0.21935864509240047"
74,12,skill window xp ms offic word excel look up pivot tabl basic function power point saral payment packag payrol softwar internet applicationseduc detail januari bachelor hospit manag intern hospit manag queen margaret univers edinburg januari diploma hotel manag intern institut hotel manag hr skill detail hr manag exprienc less year monthscompani detail compani atri develop descript hr payrol statutori complianc perform manag compani descript employe relat administr creat industri specif polici procedur form format letter checklist etc payrol manag salari restructur process payrol employe valid input attend leav salari start salari process process ur error free salari employe respons compens benefit administr coordin ount team salari process attend leav record manag assur prompt satisfactori resolut payrol relat queri employe statutori complianc manag manag variou statutori complianc requir pf esic pt gratuiti td etc calcul deduct payment return file gener statutori report like form form conduct session employe statutori polici procedur complianc relat topic shop commerci establish act payment gratuiti act recruit select handl recruit like job post naukri portal coordin creat annual manpow plan budget screen schedul preliminari interview arrang employe orient handl join formal salari ount open formal perform manag end end facilit pm start creat job descript apprais form disburs letter kra set mid year review annual review handl apprais activ degre train develop conduct train need analysi arrang variou train session employe engag employe welfar creation deploy sale reward recognit scheme period interact session like monthli birthday celebr annual day diwali dhamaka offsit etc work saral payment packag payrol softwar well excel assist md hr work offer suggest answer employe queri payrol complianc relat issu benefit insur medic reimburs full final settlement resign employe,"  (0, 1495)	0.053787965784871675
  (0, 1494)	0.05558748779950034
  (0, 1481)	0.03863758961525989
  (0, 1480)	0.06086644889518757
  (0, 1476)	0.039079088971167984
  (0, 1471)	0.04351188513214734
  (0, 1435)	0.06411721867783422
  (0, 1431)	0.05665264210505073
  (0, 1423)	0.06507166673881132
  (0, 1420)	0.07742471578308026
  (0, 1418)	0.027426836336398162
  (0, 1390)	0.09464854286027932
  (0, 1380)	0.08772093873144089
  (0, 1344)	0.028526939156642568
  (0, 1328)	0.06086644889518757
  (0, 1311)	0.06458032588383163
  (0, 1288)	0.23892593379384117
  (0, 1280)	0.12719016313658063
  (0, 1261)	0.050028329068781505
  (0, 1247)	0.05766735856481929
  (0, 1227)	0.07555861673466226
  (0, 1218)	0.047492399275910216
  (0, 1217)	0.13030793779058517
  (0, 1200)	0.060283131310057546
  (0, 1190)	0.08064105153836137
  :	:
  (0, 332)	0.07386637201752552
  (0, 316)	0.05247128728120582
  (0, 295)	0.06482433632547477
  (0, 294)	0.07935479560152661
  (0, 280)	0.07977698327451399
  (0, 259)	0.0876020264340402
  (0, 252)	0.1648676514368443
  (0, 244)	0.08064105153836137
  (0, 239)	0.06295823727705674
  (0, 167)	0.0638673519553652
  (0, 157)	0.060475498236976184
  (0, 124)	0.13109143923377747
  (0, 119)	0.047778680861117084
  (0, 107)	0.04374151140588938
  (0, 86)	0.09645655969013212
  (0, 83)	0.07386637201752552
  (0, 81)	0.05197994642622612
  (0, 70)	0.11146752030676725
  (0, 59)	0.1279318588913029
  (0, 51)	0.07386637201752552
  (0, 48)	0.15675124896219728
  (0, 42)	0.043135505124812776
  (0, 18)	0.08621624774911993
  (0, 9)	0.03987090782360031
  (0, 7)	0.12372821628552441"
75,12,educ detail ba mumbai univers hr skill detail hr oper exprienc less year monthscompani detail compani mumbai monorail descript,"  (0, 1495)	0.1905937820747704
  (0, 1418)	0.16454854062687424
  (0, 926)	0.19203834305733397
  (0, 874)	0.42573812026762914
  (0, 863)	0.13676341666494632
  (0, 750)	0.24856127459673857
  (0, 615)	0.630741914427496
  (0, 469)	0.13676341666494632
  (0, 106)	0.47057367291235386"
76,12,educ detail june may econom chennai tamil nadu sdnbvc hr skill detail compani detail compani anyth solut descript hr,"  (0, 1250)	0.25025034199862917
  (0, 820)	0.3285656212193998
  (0, 716)	0.3004890677739535
  (0, 615)	0.6783613345572409
  (0, 200)	0.5281587060802259"
77,12,educ detail june may econom chennai tamil nadu sdnbvc hr skill detail compani detail compani anyth solut descript hr,"  (0, 1250)	0.25025034199862917
  (0, 820)	0.3285656212193998
  (0, 716)	0.3004890677739535
  (0, 615)	0.6783613345572409
  (0, 200)	0.5281587060802259"
78,12,educ detail bba love profession univers hr skill detail commun exprienc monthscompani detail compani descript,"  (0, 1418)	0.2664356601990662
  (0, 1042)	0.5713373753066446
  (0, 863)	0.2214462132048453
  (0, 615)	0.6031916158570686
  (0, 469)	0.2214462132048453
  (0, 241)	0.37505821738259404"
79,12,educ detail mba acn colleg engin mgt hr skill detail compani detail compani hr assist descript,"  (0, 821)	0.4970831631097686
  (0, 615)	0.7263152051735803
  (0, 423)	0.19731263979870253
  (0, 231)	0.23975451343629145
  (0, 81)	0.3591100766464811"
80,12,key skill computer ount talli sincer hard work manag ount incom tax good commun leadership two four wheeler drive licens internet ecommerc manag comput skill languag web program talli dbm educ detail june june mba financ hr india mlrit june june bcom comput hyderabad telangana osmania univers june april inter mec india srimedhav hr nani skill detail ount exprienc month databas manag system exprienc month dbm exprienc month manag ount exprienc month ecommerc exprienc monthscompani detail compani valuelab descript give rrf form requir dlt hand rlt scrum master take form rlt scrum master give form traine work requir till candid receiv offer compani,"  (0, 1481)	0.07263841333101156
  (0, 1467)	0.08194535029720615
  (0, 1418)	0.05156227119764381
  (0, 1408)	0.142049700505236
  (0, 1373)	0.10057156164303627
  (0, 1350)	0.14649432719392108
  (0, 1341)	0.13327617926676671
  (0, 1336)	0.2820482030890214
  (0, 1332)	0.09264963270370886
  (0, 1327)	0.05185867781954803
  (0, 1192)	0.25668897618166936
  (0, 1129)	0.10137536858286406
  (0, 1095)	0.12141058620148693
  (0, 1046)	0.07247456522968304
  (0, 940)	0.25345605468489424
  (0, 914)	0.11633826287663378
  (0, 863)	0.04285563611278001
  (0, 861)	0.11373512447194459
  (0, 821)	0.1352675465460997
  (0, 812)	0.19631649058910539
  (0, 800)	0.1209568957424216
  (0, 745)	0.12475911263704427
  (0, 734)	0.0742619251646717
  (0, 721)	0.09092613461502401
  (0, 716)	0.22845688672676043
  (0, 677)	0.12526542514611463
  (0, 672)	0.14289358212816072
  (0, 646)	0.12179596197489395
  (0, 641)	0.14946798183488663
  (0, 622)	0.14464655453456374
  (0, 615)	0.19764675835794066
  (0, 581)	0.13459078246535638
  (0, 579)	0.11333188877957782
  (0, 562)	0.07814416202180072
  (0, 554)	0.20404316437147507
  (0, 525)	0.14122615537162064
  (0, 519)	0.2824538700232533
  (0, 499)	0.13139448554330854
  (0, 469)	0.11182912163416812
  (0, 387)	0.12141058620148693
  (0, 319)	0.29145221458780235
  (0, 314)	0.06506690399622599
  (0, 254)	0.11368510803078621
  (0, 241)	0.07258357798328205
  (0, 64)	0.14042198958033117"
81,12,train special educ certif cours educ detail juli octob sc psycholog special organiz behaviour malappuram kerala calicut univers juli march bsc psycholog thrissur prajyoti niketan colleg hr skill detail compani detail compani descript done day internship hr depart foster hot bread kinfra malappuram kerala also done day internship santhwana institut counsel psychotherapi cochin kerala counsellor,"  (0, 1418)	0.07030539936863371
  (0, 1390)	0.11560980942660709
  (0, 1260)	0.2891895325756744
  (0, 1176)	0.18732123174968052
  (0, 936)	0.20105842252036696
  (0, 913)	0.20105842252036696
  (0, 809)	0.17672522593766285
  (0, 720)	0.44732179570933756
  (0, 715)	0.27041507872718645
  (0, 678)	0.3298861451634028
  (0, 664)	0.11393793815499847
  (0, 615)	0.2694922849113333
  (0, 609)	0.20240919573969468
  (0, 379)	0.25152059474833294
  (0, 341)	0.13884949126136295
  (0, 316)	0.2277347975565669
  (0, 288)	0.16026296860004802
  (0, 231)	0.08895861078429396
  (0, 190)	0.13920117906766433
  (0, 156)	0.19846895563774924
  (0, 35)	0.12449028796499713"
82,12,comput knowledg profici basic use ms offic microsoft dynam ax softwar saiba softwareeduc detail mba distanc educ bharathiar univers pa colleg engin technolog hsc hr sec school ssc hr sec school hr admin bharat skill detail dynam exprienc month dynam ax exprienc month microsoft dynam exprienc month microsoft dynam ax exprienc month ms offic exprienc monthscompani detail compani sri ramesh gaarment descript tirupur administr well client servic corpor compani insur knowledg gather garment spin mill feb still sri ramesh gaarment tirupur hr activ attend mainten time card mainten staff labor individu record mainten project advanc automobil collis avoid blackbox car,"  (0, 1471)	0.09408914621227653
  (0, 1427)	0.07036747841848853
  (0, 1418)	0.05930718943475462
  (0, 1374)	0.08336061754926548
  (0, 1349)	0.06460467170304074
  (0, 1274)	0.128733709933089
  (0, 1270)	0.11162187872834446
  (0, 1269)	0.34356014185764927
  (0, 1247)	0.0736490205761221
  (0, 1215)	0.07287443786878646
  (0, 1186)	0.16099895491813648
  (0, 1100)	0.12717672222685988
  (0, 1049)	0.058037976021055114
  (0, 1043)	0.12423637626676048
  (0, 915)	0.14876928971887937
  (0, 868)	0.15499397119350658
  (0, 863)	0.04929277299568795
  (0, 861)	0.13081872492752505
  (0, 843)	0.2451895867602468
  (0, 821)	0.1555854275044155
  (0, 797)	0.2142411832482305
  (0, 722)	0.14552203181547946
  (0, 668)	0.14125174410905536
  (0, 648)	0.140174723299569
  (0, 616)	0.11742527274783342
  (0, 615)	0.32040132513060643
  (0, 545)	0.11894317563642277
  (0, 487)	0.16338629585810718
  (0, 469)	0.12862643066395596
  (0, 423)	0.06175822013976919
  (0, 394)	0.39621417875497883
  (0, 282)	0.11832896313266568
  (0, 254)	0.07722966866737765
  (0, 231)	0.07504238975976187
  (0, 215)	0.07249279603145417
  (0, 177)	0.14527220298159196
  (0, 176)	0.1674215075176331
  (0, 119)	0.10331557172755136
  (0, 86)	0.12318807946328121
  (0, 19)	0.12531339707624686
  (0, 18)	0.11010981537040115
  (0, 17)	0.14292471150039088
  (0, 9)	0.08621597672538706"
83,12,softwar skill gener comput profici program langag known java web program tool softwar know matlab dbm key strength poss good commun analyt skill posit think sincer hard work honesti respons enthusiast learn new skill take new task self motiv readi ept challeng educ detail januari januari comput scienc engin comput scienc engin adichunchanagiri institut technolog chikmagalur hr skill detail databas manag system exprienc month dbm exprienc month java exprienc month matlab exprienc monthscompani detail compani truli descript jayashre ,"  (0, 1481)	0.05687688805477729
  (0, 1467)	0.10863968687421621
  (0, 1378)	0.09014197683894459
  (0, 1367)	0.16814717030344214
  (0, 1349)	0.07446510538247894
  (0, 1338)	0.12335477501369492
  (0, 1332)	0.12283097270846915
  (0, 1327)	0.06875204632835212
  (0, 1299)	0.14702939282129318
  (0, 1247)	0.143731041329631
  (0, 1202)	0.16408698724124512
  (0, 1187)	0.18825201342429265
  (0, 1138)	0.07676085452341476
  (0, 1046)	0.1626838791950152
  (0, 1043)	0.1431982333037101
  (0, 1008)	0.13500561798122312
  (0, 895)	0.16567310596617155
  (0, 864)	0.17933200416757225
  (0, 863)	0.05681619361198227
  (0, 861)	0.13260716578092505
  (0, 814)	0.3188593990656627
  (0, 800)	0.06720023729423874
  (0, 746)	0.11908434380266449
  (0, 723)	0.18410572000427686
  (0, 721)	0.12054603168370163
  (0, 699)	0.17313727330175088
  (0, 698)	0.13576302153183148
  (0, 664)	0.11078370984570043
  (0, 615)	0.15476016110493498
  (0, 581)	0.17843477891253326
  (0, 562)	0.10360023188998306
  (0, 548)	0.10445999952442393
  (0, 469)	0.13558016243656923
  (0, 436)	0.16814717030344214
  (0, 429)	0.1981583419360494
  (0, 423)	0.12052534062118275
  (0, 319)	0.38639504519508105
  (0, 314)	0.0862629551327415
  (0, 254)	0.18681221411543691
  (0, 241)	0.09622824425930684
  (0, 193)	0.16344430419934652
  (0, 44)	0.12985871220804204"
84,0,technic qualif window ms officeeduc detail guwahati assam univers law colleg guwahati univers sc jagiroad assam jagiroad colleg morigaon colleg advoc advoc gauhati high court skill detail compani detail compani gauhati high court descript gauhati high court subordin court tribun statutori bodi guwahati numer experi civil crimin case case consum forum handl good number civil well crimin matter district session judg court judg court court consum forum also high court work execut legal hindustan paper corpor limit govt india enterpris nagaon paper mill sinc jan strength adapt penchant adapt condit level environ ord requir given situat interperson extrovert core prefer interact peopl walk life vari strata societi abil quickli establish rapport other team work enjoy part group achiev combin goal role respons hpc ltd assist brief counsel matter relat nagaon paper mill cachar paper mill also nagaland pulp paper corpor ltd task legal vet nib nit term condit etc provid legal view protect interest corpor assist formul draft disciplinari matter liaison local bodi also forum,"  (0, 1481)	0.052735267281311
  (0, 1476)	0.05333785628259653
  (0, 1471)	0.05938804452364795
  (0, 1458)	0.11171920980761736
  (0, 1447)	0.08781508541404688
  (0, 1418)	0.06338135986666056
  (0, 1359)	0.09583905941616085
  (0, 1346)	0.046118878458337204
  (0, 1344)	0.0389355489336501
  (0, 1338)	0.06755019059870827
  (0, 1299)	0.08051462545805839
  (0, 1288)	0.12497048354734412
  (0, 1232)	0.11006451098703866
  (0, 1217)	0.08474806409856887
  (0, 1176)	0.0997390360116603
  (0, 1156)	0.04971153089204356
  (0, 1138)	0.04203493827458824
  (0, 1129)	0.0434682881017332
  (0, 1115)	0.05778027330627381
  (0, 1080)	0.10705339195614538
  (0, 1073)	0.09629432515841219
  (0, 1059)	0.05013687765425308
  (0, 1055)	0.09246964842894025
  (0, 973)	0.07566876398731746
  (0, 956)	0.07586966619277673
  :	:
  (0, 560)	0.08623421406884763
  (0, 555)	0.09021252154807262
  (0, 460)	0.056919679978799084
  (0, 456)	0.06380808062367613
  (0, 445)	0.05857113824731779
  (0, 442)	0.08685452854854184
  (0, 434)	0.05519535026672866
  (0, 428)	0.08176168625650862
  (0, 385)	0.10705339195614538
  (0, 373)	0.11349219865827276
  (0, 289)	0.4053359835503325
  (0, 282)	0.15674105600016283
  (0, 281)	0.06521166383951511
  (0, 269)	0.1800737138733043
  (0, 258)	0.17164370645772523
  (0, 231)	0.09940274218860136
  (0, 205)	0.18635541645741363
  (0, 181)	0.11063580555907838
  (0, 152)	0.1154017011232579
  (0, 140)	0.20919224490121985
